graph , sequential  , seq. -O3    , p. task t=8 , p. task -O3 t=8 , p. data t=8 , p. data t=8 -O3 , multiproc. p=4 t=2 , multiproc. p=4 t=2 -O3 ,
10_3  , 0.000307    , 0.000131    , 0.001926    , 0.001682        , 0.002837    , 0.003878        , 0.001388           , 0.000519               ,
10_5  , 0.008851    , 0.002794    , 0.007424    , 0.006669        , 0.006803    , 0.008909        , 0.008336           , 0.005676               ,
10_6  , 0.173728    , 0.071894    , 0.132130    , 0.106857        , 0.119697    , 0.170294        , 0.181062           , 0.091958               ,
10_7  , 0.290943    , 0.126110    , 0.451986    , 0.399234        , 0.190885    , 0.281410        , 0.457983           , 0.155181               ,
12_3  , 0.000338    , 0.000193    , 0.013681    , 0.010522        , 0.005453    , 0.004444        , 0.002109           , 0.003617               ,
12_5  , 0.058359    , 0.024575    , 0.128734    , 0.109163        , 0.055579    , 0.068983        , 0.100701           , 0.032763               ,
12_6  , 0.271610    , 0.109427    , 0.272130    , 0.275704        , 0.205007    , 0.250079        , 0.392225           , 0.135637               ,
12_9  , 592.944564  , 159.115643  , 594.856196  , 496.805379      , 357.515268  , 376.225617      , 547.886360         , 189.276421             ,
15_4  , 0.029107    , 0.009958    , 0.040037    , 0.052212        , 0.022035    , 0.036152        , 0.022113           , 0.016796               ,
15_5  , 1.062928    , 0.338359    , 0.487353    , 0.600725        , 0.742400    , 0.970131        , 1.285148           , 0.573589               ,
15_6  , 17.073909   , 4.852974    , 19.430724   , 22.458364       , 12.095585   , 12.834591       , 23.420029          , 8.548999               ,
15_8  , 3552.124058 , 899.376206  , 4032.944554 , 3058.827470     , 2069.149634 , 2185.517486     , 4303.917172        , 1213.106451            ,
